SCRIP,NAME,SECTOR
540361,Danube Industries Ltd.,Trading
540360,Leading Leasing Finance And Investment Co Ltd.,Finance - NBFC
540492,Starlineps Enterprises Ltd.,Diamond  &amp;  Jewellery
540694,ANG Lifesciences India Ltd.,Pharmaceuticals &amp; Drugs
540386,Ontic Finserve Ltd.,Finance - Others
FOCUS,Focus Lighting &amp; Fixtures Ltd.,Electric Equipment
CREATIVE,Creative Newtech Ltd.,Trading
MKPL,MK Proteins Ltd.,Solvent  Extraction
DEVIT,Dev Information Technology Ltd.,IT - Software
APEX,Apex Frozen Foods Ltd.,Aquaculture
SIKKO,Sikko Industries Ltd.,Pesticides &amp; Agrochemicals
PANACHE,Panache Digilife Ltd.,IT - Hardware
